"","state_lower","zipcode","county"
"374","massachusetts","01772","Worcester"
"375","massachusetts","01773","Middlesex"
"376","massachusetts","01775","Middlesex"
"377","massachusetts","01776","Middlesex"
"378","massachusetts","01778","Middlesex"
"379","massachusetts","01801","Middlesex"
"380","massachusetts","01803","Middlesex"
"381","massachusetts","01810","Essex"
"382","massachusetts","01821","Middlesex"
"383","massachusetts","01824","Middlesex"
"384","massachusetts","01826","Middlesex"
"385","massachusetts","01827","Middlesex"
"386","massachusetts","01830","Essex"
"387","massachusetts","01832","Essex"
"388","massachusetts","01833","Essex"
"389","massachusetts","01834","Essex"
"390","massachusetts","01835","Essex"
"391","massachusetts","01840","Essex"
"392","massachusetts","01841","Essex"
"393","massachusetts","01843","Essex"
"394","massachusetts","01844","Essex"
"395","massachusetts","01845","Essex"
"396","massachusetts","01850","Middlesex"
"397","massachusetts","01851","Middlesex"
"398","massachusetts","01852","Middlesex"
"399","massachusetts","01854","Middlesex"
"400","massachusetts","01860","Essex"
"401","massachusetts","01862","Middlesex"
"402","massachusetts","01863","Middlesex"
"403","massachusetts","01864","Middlesex"
"404","massachusetts","01867","Middlesex"
"405","massachusetts","01876","Middlesex"
"406","massachusetts","01879","Middlesex"
"407","massachusetts","01880","Middlesex"
"408","massachusetts","01886","Middlesex"
"409","massachusetts","01887","Middlesex"
"410","massachusetts","01890","Middlesex"
"411","massachusetts","01901","Essex"
"412","massachusetts","01902","Essex"
"413","massachusetts","01904","Essex"
"414","massachusetts","01905","Essex"
"415","massachusetts","01906","Essex"
"416","massachusetts","01907","Essex"
"417","massachusetts","01908","Essex"
"418","massachusetts","01913","Essex"
"419","massachusetts","01915","Essex"
"420","massachusetts","01921","Essex"
"421","massachusetts","01922","Essex"
"422","massachusetts","01923","Essex"
"423","massachusetts","01929","Essex"
"424","massachusetts","01930","Essex"
"425","massachusetts","01937","Essex"
"426","massachusetts","01938","Essex"
"427","massachusetts","01940","Essex"
"428","massachusetts","01944","Essex"
"429","massachusetts","01945","Essex"
"430","massachusetts","01949","Essex"
"431","massachusetts","01950","Essex"
"432","massachusetts","01951","Essex"
"433","massachusetts","01952","Essex"
"434","massachusetts","01960","Essex"
"435","massachusetts","01965","Essex"
"436","massachusetts","01966","Essex"
"437","massachusetts","01969","Essex"
"438","massachusetts","01970","Essex"
"439","massachusetts","01982","Essex"
"440","massachusetts","01983","Essex"
"441","massachusetts","01984","Essex"
"442","massachusetts","01985","Essex"
"443","massachusetts","02019","Norfolk"
"444","massachusetts","02021","Norfolk"
"445","massachusetts","02025","Norfolk"
"446","massachusetts","02026","Norfolk"
"447","massachusetts","02030","Norfolk"
"448","massachusetts","02032","Norfolk"
"449","massachusetts","02035","Norfolk"
"450","massachusetts","02038","Norfolk"
"451","massachusetts","02043","Plymouth"
"452","massachusetts","02045","Plymouth"
"453","massachusetts","02047","Plymouth"
"454","massachusetts","02048","Bristol"
"455","massachusetts","02050","Plymouth"
"456","massachusetts","02052","Norfolk"
"457","massachusetts","02053","Norfolk"
"458","massachusetts","02054","Norfolk"
"459","massachusetts","02056","Norfolk"
"460","massachusetts","02061","Plymouth"
"461","massachusetts","02062","Norfolk"
"462","massachusetts","02066","Plymouth"
"463","massachusetts","02067","Norfolk"
"464","massachusetts","02071","Norfolk"
"465","massachusetts","02072","Norfolk"
"466","massachusetts","02081","Norfolk"
"467","massachusetts","02090","Norfolk"
"468","massachusetts","02093","Norfolk"
"469","massachusetts","02108","Suffolk"
"470","massachusetts","02109","Suffolk"
"471","massachusetts","02110","Suffolk"
"472","massachusetts","02111","Suffolk"
"473","massachusetts","02113","Suffolk"
"474","massachusetts","02114","Suffolk"
"475","massachusetts","02115","Suffolk"
"476","massachusetts","02116","Suffolk"
"477","massachusetts","02118","Suffolk"
"478","massachusetts","02119","Suffolk"
"479","massachusetts","02120","Suffolk"
"480","massachusetts","02121","Suffolk"
"481","massachusetts","02122","Suffolk"
"482","massachusetts","02124","Suffolk"
"483","massachusetts","02125","Suffolk"
"484","massachusetts","02126","Suffolk"
"485","massachusetts","02127","Suffolk"
"486","massachusetts","02128","Suffolk"
"487","massachusetts","02129","Suffolk"
"488","massachusetts","02130","Suffolk"
"489","massachusetts","02131","Suffolk"
"490","massachusetts","02132","Suffolk"
"491","massachusetts","02133","Suffolk"
"492","massachusetts","02134","Suffolk"
"493","massachusetts","02135","Suffolk"
"494","massachusetts","02136","Suffolk"
"495","massachusetts","02138","Middlesex"
"496","massachusetts","02139","Middlesex"
"497","massachusetts","02140","Middlesex"
"498","massachusetts","02141","Middlesex"
"499","massachusetts","02142","Middlesex"
"500","massachusetts","02143","Middlesex"
"501","massachusetts","02144","Middlesex"
"502","massachusetts","02145","Middlesex"
"503","massachusetts","02148","Middlesex"
"504","massachusetts","02149","Middlesex"
"505","massachusetts","02150","Suffolk"
"506","massachusetts","02151","Suffolk"
"507","massachusetts","02152","Suffolk"
"508","massachusetts","02155","Middlesex"
"509","massachusetts","02163","Suffolk"
"510","massachusetts","02169","Norfolk"
"511","massachusetts","02170","Norfolk"
"512","massachusetts","02171","Norfolk"
"513","massachusetts","02176","Middlesex"
"514","massachusetts","02180","Middlesex"
"515","massachusetts","02184","Norfolk"
"516","massachusetts","02186","Norfolk"
"517","massachusetts","02188","Norfolk"
"518","massachusetts","02189","Norfolk"
"519","massachusetts","02190","Norfolk"
"520","massachusetts","02191","Norfolk"
"521","massachusetts","02199","Suffolk"
"522","massachusetts","02203","Suffolk"
"523","massachusetts","02205","Suffolk"
"524","massachusetts","02210","Suffolk"
"525","massachusetts","02215","Suffolk"
"526","massachusetts","02301","Plymouth"
"527","massachusetts","02302","Plymouth"
"528","massachusetts","02322","Norfolk"
"529","massachusetts","02324","Plymouth"
"530","massachusetts","02325","Plymouth"
"531","massachusetts","02330","Plymouth"
"532","massachusetts","02332","Plymouth"
"533","massachusetts","02333","Plymouth"
"534","massachusetts","02338","Plymouth"
"535","massachusetts","02339","Plymouth"
"536","massachusetts","02341","Plymouth"
"537","massachusetts","02343","Norfolk"
"538","massachusetts","02346","Plymouth"
"539","massachusetts","02347","Plymouth"
"540","massachusetts","02350","Plymouth"
"541","massachusetts","02351","Plymouth"
"542","massachusetts","02356","Bristol"
"543","massachusetts","02357","Bristol"
"544","massachusetts","02359","Plymouth"
"545","massachusetts","02360","Plymouth"
"546","massachusetts","02364","Plymouth"
"547","massachusetts","02366","Plymouth"
"548","massachusetts","02367","Plymouth"
"549","massachusetts","02368","Norfolk"
"550","massachusetts","02370","Plymouth"
"551","massachusetts","02375","Bristol"
"552","massachusetts","02379","Plymouth"
"553","massachusetts","02382","Plymouth"
"554","massachusetts","02420","Middlesex"
"555","massachusetts","02421","Middlesex"
"556","massachusetts","02445","Norfolk"
"557","massachusetts","02446","Norfolk"
"558","massachusetts","02451","Middlesex"
"559","massachusetts","02452","Middlesex"
"560","massachusetts","02453","Middlesex"
"561","massachusetts","02457","Norfolk"
"562","massachusetts","02458","Middlesex"
"563","massachusetts","02459","Middlesex"
"564","massachusetts","02460","Middlesex"
"565","massachusetts","02461","Middlesex"
"566","massachusetts","02462","Middlesex"
"567","massachusetts","02464","Middlesex"
"568","massachusetts","02465","Middlesex"
"569","massachusetts","02466","Middlesex"
"570","massachusetts","02467","Norfolk"
"571","massachusetts","02468","Middlesex"
"572","massachusetts","02472","Middlesex"
"573","massachusetts","02474","Middlesex"
"574","massachusetts","02476","Middlesex"
"575","massachusetts","02478","Middlesex"
"576","massachusetts","02481","Norfolk"
"577","massachusetts","02482","Norfolk"
"578","massachusetts","02492","Norfolk"
"579","massachusetts","02493","Middlesex"
"580","massachusetts","02494","Norfolk"
"581","massachusetts","02532","Barnstable"
"582","massachusetts","02534","Barnstable"
"583","massachusetts","02535","Dukes"
"584","massachusetts","02536","Barnstable"
"585","massachusetts","02537","Barnstable"
"586","massachusetts","02538","Plymouth"
"587","massachusetts","02539","Dukes"
"588","massachusetts","02540","Barnstable"
"589","massachusetts","02542","Barnstable"
"590","massachusetts","02543","Dukes"
"591","massachusetts","02553","Barnstable"
"592","massachusetts","02554","Nantucket"
"593","massachusetts","02556","Barnstable"
"594","massachusetts","02557","Dukes"
"595","massachusetts","02558","Plymouth"
"596","massachusetts","02559","Barnstable"
"597","massachusetts","02561","Barnstable"
"598","massachusetts","02562","Barnstable"
